tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
,Munich,Clay,,,,20260414,,,,,Denis Shapovalov,,,,27.0,41,1130.0,,,,Tallon Griekspoor,,,,29.0,58.0,935.0,6-4 3-6 6-2,3,R32,,,,,,,,,,,,,,,,,,,
,Munich,Clay,,,,20260414,,,,,Flavio Cobolli,,,,24.0,10,3460.0,,,,Diego Dedura Palomero,,,,,,,6-4 7-5,3,R32,,,,,,,,,,,,,,,,,,,
,Munich,Clay,,,,20260414,,,,,Joao Fonseca,,,,19.0,27,1710.0,,,,Alejandro Tabilo,,,,29.0,33.0,1428.0,7-6(1) 6-3,3,R32,,,,,,,,,,,,,,,,,,,
,Munich,Clay,,,,20260414,,,,,Luciano Darderi,,,,24.0,16,2300.0,,,,Zhizhen Zhang,,,,29.0,161.0,359.0,7-6(5) 3-6 6-1,3,R32,,,,,,,,,,,,,,,,,,,
,Munich,Clay,,,,20260414,,,,,Vit Kopriva,,,,29.0,64,893.0,,,,Justin Engel,,,,18.0,279.0,201.0,6-3 5-7 6-2,3,R32,,,,,,,,,,,,,,,,,,,
,Munich,Clay,,,,20260414,,,,,Zizou Bergs,,,,27.0,37,1250.0,,,,Marko Topo,,,,22.0,350.0,146.0,6-1 6-4,3,R32,,,,,,,,,,,,,,,,,,,
,Barcelona,Clay,,,,20260413,,,,,Cameron Norrie,,,,30.0,29,1595.0,,,,Stan Wawrinka,,,,41.0,109.0,563.0,6-4 6-7(5) 6-4,3,R32,,,,,,,,,,,,,,,,,,,
,Barcelona,Clay,,,,20260413,,,,,Corentin Moutet,,,,27.0,39,1163.0,,,,Ignacio Buse,,,,22.0,34.0,1375.0,6-4 6-4,3,R32,,,,,,,,,,,,,,,,,,,
,Barcelona,Clay,,,,20260413,,,,,Ethan Quinn,,,,22.0,47,1021.0,,,,Reilly Opelka,,,,28.0,115.0,546.0,7-5 7-6(7),3,R32,,,,,,,,,,,,,,,,,,,
,Barcelona,Clay,,,,20260413,,,,,Hamad Medjedovic,,,,22.0,68,844.0,,,,Marco Trungelliti,,,,36.0,94.0,670.0,7-5 6-4,3,R32,,,,,,,,,,,,,,,,,,,
,Barcelona,Clay,,,,20260413,,,,,Nuno Borges,,,,29.0,48,1020.0,,,,Adrian Mannarino,,,,37.0,40.0,1139.0,6-3 6-4,3,R32,,,,,,,,,,,,,,,,,,,
,Barcelona,Clay,,,,20260413,,,,,Rafael Jodar,,,,19.0,26,1839.0,,,,Jaume Munar,,,,29.0,44.0,1075.0,6-1 6-2,3,R32,,,,,,,,,,,,,,,,,,,
,Barcelona,Clay,,,,20260413,,,,,Tomas Martin Etcheverry,,,,26.0,32,1460.0,,,,Jack Draper,,,,24.0,131.0,460.0,3-6 6-3 4-1 RET,3,R32,,,,,,,,,,,,,,,,,,,
,Munich,Clay,,,,20260413,,,,,Alexander Blockx,,,,21.0,36,1275.0,,,,Yannick Hanfmann,,,,34.0,56.0,949.0,7-6(2) 6-2,3,R32,,,,,,,,,,,,,,,,,,,
,Munich,Clay,,,,20260413,,,,,Arthur Rinderknech,,,,30.0,28,1683.0,,,,Alex Michelsen,,,,21.0,46.0,1025.0,6-3 6-3,3,R32,,,,,,,,,,,,,,,,,,,
,Munich,Clay,,,,20260413,,,,,Ben Shelton,,,,23.0,5,4160.0,,,,Emilio Nava,,,,24.0,86.0,704.0,7-6(4) 3-6 6-3,3,R32,,,,,,,,,,,,,,,,,,,
,Munich,Clay,,,,20260413,,,,,Botic Van De Zandschulp,,,,30.0,54,969.0,,,,Marc Andrea Huesler,,,,,,,7-6(7) 6-3,3,R32,,,,,,,,,,,,,,,,,,,
,Munich,Clay,,,,20260413,,,,,Francisco Cerundolo,,,,27.0,21,2110.0,,,,Sumit Nagal,,,,28.0,219.0,260.0,6-2 6-2,3,R32,,,,,,,,,,,,,,,,,,,
,Munich,Clay,,,,20260413,,,,,Gabriel Diallo,,,,24.0,88,695.0,,,,Vitaliy Sachko,,,,28.0,198.0,291.0,6-1 6-2,3,R32,,,,,,,,,,,,,,,,,,,
