player_name,normalized_name,player_page_url,discovered_from_url,scraped_at
,petr nouza,https://www.tennisabstract.com/cgi-bin/player.cgi?p=202227/Petr-Nouza,https://www.tennisabstract.com/current/2026ATPMunich.html,2026-04-16T14:33:50Z
,bart stevens,https://www.tennisabstract.com/cgi-bin/player.cgi?p=202161/Bart-Stevens,https://www.tennisabstract.com/current/2026ATPMunich.html,2026-04-16T14:33:50Z
Yannick Hanfmann,yannick hanfmann,https://www.tennisabstract.com/cgi-bin/player.cgi?p=105870/Yannick-Hanfmann,https://www.tennisabstract.com/current/2026ATPMunich.html,2026-04-16T14:33:50Z
Carlos Alcaraz,carlos alcaraz,https://www.tennisabstract.com/cgi-bin/player.cgi?p=207989/Carlos-Alcaraz,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
Emilio Nava,emilio nava,https://www.tennisabstract.com/cgi-bin/player.cgi?p=207182/Emilio-Nava,https://www.tennisabstract.com/current/2026ATPMunich.html,2026-04-16T14:33:50Z
Joao Fonseca,joao fonseca,https://www.tennisabstract.com/cgi-bin/player.cgi?p=211663/Joao-Fonseca,https://www.tennisabstract.com/current/2026ATPMunich.html,2026-04-16T14:33:50Z
Ben Shelton,ben shelton,https://www.tennisabstract.com/cgi-bin/player.cgi?p=210097/Ben-Shelton,https://www.tennisabstract.com/current/2026ATPMunich.html,2026-04-16T14:33:50Z
,alejandro tabilo,https://www.tennisabstract.com/cgi-bin/player.cgi?p=126214/Alejandro-Tabilo,https://www.tennisabstract.com/current/2026ATPMunich.html,2026-04-16T14:33:50Z
,alex michelsen,https://www.tennisabstract.com/cgi-bin/player.cgi?p=210506/Alex-Michelsen,https://www.tennisabstract.com/current/2026ATPMunich.html,2026-04-16T14:33:50Z
,arthur rinderknech,https://www.tennisabstract.com/cgi-bin/player.cgi?p=126239/Arthur-Rinderknech,https://www.tennisabstract.com/current/2026ATPMunich.html,2026-04-16T14:33:50Z
,ignacio buse,https://www.tennisabstract.com/cgi-bin/player.cgi?p=209860/Ignacio-Buse,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,corentin moutet,https://www.tennisabstract.com/cgi-bin/player.cgi?p=144895/Corentin-Moutet,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,martin landaluce,https://www.tennisabstract.com/cgi-bin/player.cgi?p=212021/Martin-Landaluce,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,lorenzo musetti,https://www.tennisabstract.com/cgi-bin/player.cgi?p=207518/Lorenzo-Musetti,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,pierre hugues herbert,https://www.tennisabstract.com/cgi-bin/player.cgi?p=105732/Pierre-Hugues-Herbert,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,andrea vavassori,https://www.tennisabstract.com/cgi-bin/player.cgi?p=131934/Andrea-Vavassori,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,marcelo arevalo,https://www.tennisabstract.com/cgi-bin/player.cgi?p=105656/Marcelo-Arevalo,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,mate pavic,https://www.tennisabstract.com/cgi-bin/player.cgi?p=106207/Mate-Pavic,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,guido andreozzi,https://www.tennisabstract.com/cgi-bin/player.cgi?p=105819/Guido-Andreozzi,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,manuel guinard,https://www.tennisabstract.com/cgi-bin/player.cgi?p=131905/Manuel-Guinard,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,juan manuel cerundolo,https://www.tennisabstract.com/cgi-bin/player.cgi?p=207678/Juan-Manuel-Cerundolo,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,robert cash,https://www.tennisabstract.com/cgi-bin/player.cgi?p=207901/Robert-Cash,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,julian cash,https://www.tennisabstract.com/cgi-bin/player.cgi?p=126108/Julian-Cash,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,lloyd glasspool,https://www.tennisabstract.com/cgi-bin/player.cgi?p=106266/Lloyd-Glasspool,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,hugo nys,https://www.tennisabstract.com/cgi-bin/player.cgi?p=105714/Hugo-Nys,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,edouard roger vasselin,https://www.tennisabstract.com/cgi-bin/player.cgi?p=104273/Edouard-Roger-Vasselin,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,adam pavlasek,https://www.tennisabstract.com/cgi-bin/player.cgi?p=106361/Adam-Pavlasek,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,patrik rikl,https://www.tennisabstract.com/cgi-bin/player.cgi?p=144924/Patrik-Rikl,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,maximo gonzalez,https://www.tennisabstract.com/cgi-bin/player.cgi?p=104216/Maximo-Gonzalez,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,andres molteni,https://www.tennisabstract.com/cgi-bin/player.cgi?p=105120/Andres-Molteni,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,daniel merida aguilar,https://www.tennisabstract.com/cgi-bin/player.cgi?p=210017/Daniel-Merida-Aguilar,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,jesper de jong,https://www.tennisabstract.com/cgi-bin/player.cgi?p=207411/Jesper-De-Jong,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,james tracy,https://www.tennisabstract.com/cgi-bin/player.cgi?p=210370/James-Tracy,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,brandon nakashima,https://www.tennisabstract.com/cgi-bin/player.cgi?p=206909/Brandon-Nakashima,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,terence atmane,https://www.tennisabstract.com/cgi-bin/player.cgi?p=209279/Terence-Atmane,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,arthur fils,https://www.tennisabstract.com/cgi-bin/player.cgi?p=209950/Arthur-Fils,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,otto virtanen,https://www.tennisabstract.com/cgi-bin/player.cgi?p=202261/Otto-Virtanen,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,tomas machac,https://www.tennisabstract.com/cgi-bin/player.cgi?p=207830/Tomas-Machac,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,sebastian baez,https://www.tennisabstract.com/cgi-bin/player.cgi?p=202104/Sebastian-Baez,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,pedro martinez,https://www.tennisabstract.com/cgi-bin/player.cgi?p=124079/Pedro-Martinez,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,lorenzo sonego,https://www.tennisabstract.com/cgi-bin/player.cgi?p=132283/Lorenzo-Sonego,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,mariano navone,https://www.tennisabstract.com/cgi-bin/player.cgi?p=208363/Mariano-Navone,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,andrey rublev,https://www.tennisabstract.com/cgi-bin/player.cgi?p=126094/Andrey-Rublev,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,alex de minaur,https://www.tennisabstract.com/cgi-bin/player.cgi?p=200282/Alex-De-Minaur,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
