scraped_at,tournament_name,tournament_url,surface
2026-04-16T04:55:16Z,Barcelona,https://www.tennisabstract.com/current/2026ATPBarcelona.html,clay
2026-04-16T04:55:16Z,Munich,https://www.tennisabstract.com/current/2026ATPMunich.html,clay
