strategy_key,prob_mode,edge_threshold,match_id,date,surface,year,odds_source,prob,market_prob,edge,p1_decimal_odds,full_kelly,kelly_fraction_applied,bet_size,bankroll_before,bankroll_after,pnl,correct
raw_t0.01,raw,0.01,2022-9665_10.0,2022-01-04,hard,2022,pinnacle,0.7347536683082581,0.381679389312977,0.35307427899528104,2.62,0.571021364794837,0.05,500.0,10000.0,9500.0,-500.0,0
raw_t0.01,raw,0.01,2022-8998_3.0,2022-01-04,hard,2022,pinnacle,0.6363036036491394,0.3436426116838488,0.2926609919652906,2.91,0.44588664220889823,0.05,475.0,9500.0,10407.25,907.2500000000001,1
raw_t0.01,raw,0.01,2022-8998_10.0,2022-01-04,hard,2022,pinnacle,0.412481427192688,0.2898550724637681,0.12262635472891986,3.45,0.17267792808766266,0.05,520.3625000000001,10407.25,9886.8875,-520.3625000000001,0
raw_t0.01,raw,0.01,2022-403_8.0,2022-01-05,hard,2022,pinnacle,0.4769032597541809,0.3012048192771084,0.1756984404770725,3.32,0.2514305268896037,0.05,494.34437500000007,9886.8875,9392.543125,-494.34437500000007,0
raw_t0.01,raw,0.01,2022-9665_2.0,2022-01-05,hard,2022,pinnacle,0.3758847415447235,0.3472222222222222,0.0286625193225013,2.88,0.04390854023872534,0.02195427011936267,206.20642887401277,9392.543125,9780.211211283144,387.66808628314396,1
raw_t0.01,raw,0.01,2022-9665_1.0,2022-01-05,hard,2022,pinnacle,0.7949199676513672,0.6622516556291391,0.13266831202222806,1.51,0.3928022571638519,0.05,489.01056056415723,9780.211211283144,10029.606597170863,249.39538588772018,1
raw_t0.01,raw,0.01,2022-9665_11.0,2022-01-05,hard,2022,pinnacle,0.7608890533447266,0.6329113924050632,0.12797766093966334,1.58,0.3486288004908069,0.05,501.4803298585432,10029.606597170863,10320.465188488819,290.8585913179551,1
raw_t0.01,raw,0.01,2022-9665_12.0,2022-01-05,hard,2022,pinnacle,0.7705767750740051,0.6024096385542169,0.1681671365197882,1.66,0.42296582821643713,0.05,516.023259424441,10320.465188488819,9804.441929064378,-516.023259424441,0
raw_t0.01,raw,0.01,2022-8998_16.0,2022-01-05,hard,2022,pinnacle,0.7636662721633911,0.591715976331361,0.17195029583203014,1.69,0.4211536231248275,0.05,490.2220964532189,9804.441929064378,9314.21983261116,-490.2220964532189,0
raw_t0.01,raw,0.01,2022-9665_13.0,2022-01-06,hard,2022,pinnacle,0.5771788954734802,0.4366812227074236,0.14049767276605662,2.29,0.2494105973909068,0.05,465.710991630558,9314.21983261116,9914.98701181458,600.7671792034198,1
raw_t0.01,raw,0.01,2022-9665_14.0,2022-01-06,hard,2022,pinnacle,0.7868635654449463,0.5780346820809249,0.2088288833640214,1.73,0.4948958468763796,0.05,495.74935059072897,9914.98701181458,9419.23766122385,-495.74935059072897,0
raw_t0.01,raw,0.01,2022-9665_15.0,2022-01-06,hard,2022,pinnacle,0.3559798896312713,0.1788908765652951,0.17708901306597621,5.59,0.2156704973940755,0.05,470.9618830611925,9419.23766122385,8948.275778162657,-470.9618830611925,0
raw_t0.01,raw,0.01,2022-540_96.0,2022-01-06,grass,2022,pinnacle,0.9612073302268982,0.8620689655172414,0.09913836470965676,1.16,0.7187531441450118,0.05,447.41378890813286,8948.275778162657,9019.861984387959,71.58620622530123,1
raw_t0.01,raw,0.01,2022-9665_20.0,2022-01-06,hard,2022,pinnacle,0.8789932131767273,0.8620689655172414,0.016924247659485858,1.16,0.12270079553127258,0.05,450.99309921939795,9019.861984387959,9092.020880263062,72.15889587510364,1
raw_t0.01,raw,0.01,2022-9665_19.0,2022-01-06,hard,2022,pinnacle,0.5908482670783997,0.5025125628140703,0.08833570426432935,1.99,0.1775636883697124,0.05,454.6010440131531,9092.020880263062,8637.419836249908,-454.6010440131531,0
raw_t0.01,raw,0.01,2022-8998_13.0,2022-01-06,hard,2022,pinnacle,0.7986346483230591,0.7751937984496123,0.023440849873446745,1.29,0.10427136667843534,0.05,431.87099181249545,8637.419836249908,8762.662423875532,125.2425876256237,1
