min_edge_threshold,n_bets,avg_return_per_bet,total_profit_1unit,win_rate,avg_odds,avg_edge
0.01,3542,0.10571993224167137,374.46,0.5163749294184077,2.9819480519480517,0.10137989462674424
0.02,3248,0.11607450738916256,377.01,0.5172413793103449,2.966810344827586,0.10917931121380044
0.03,2981,0.1216739349211674,362.71000000000004,0.5139215028513922,2.9336497819523646,0.11672205460075595
0.04,2721,0.13071297317162808,355.67,0.5115766262403528,2.8947409040793826,0.12457240502849262
0.05,2473,0.12736352608168217,314.97,0.5099069955519612,2.870113222806308,0.13253219001048078
0.06,2236,0.12409212880143111,277.46999999999997,0.5044722719141324,2.825644007155635,0.1407864097217365
0.08,1824,0.12583333333333332,229.51999999999998,0.4967105263157895,2.833163377192983,0.15685705809708309
0.1,1463,0.17181818181818181,251.37,0.4969241285030759,2.858933697881066,0.17347779867889673
