prob_mode,edge_threshold,market_col,starting_bankroll,ending_bankroll,total_profit,roi_starting_bankroll,roi_total_staked,total_bets,wins,losses,win_rate,total_staked,max_drawdown,skipped_invalid_odds,skipped_kelly_nonpositive,skipped_below_edge,avg_edge_on_bets,avg_prob_on_bets,avg_market_prob_on_bets,avg_decimal_odds_on_bets,avg_kelly_fraction,profit_over_max_dd
raw,0.01,market_prob_raw_p1,10000.0,1199226791.7926009,1199216791.7926009,119921.67917926009,0.1978106463995933,3748,1890,1858,0.5042689434364994,6062448172.633171,0.9263610415889216,0,0,5624,0.10402424993180875,0.5655714416744241,0.46154719174261294,3.134303628601925,0.044032210907745305,1294545795.8116083
raw,0.02,market_prob_raw_p1,10000.0,1340219548.522894,1340209548.522894,134020.9548522894,0.20383540104122466,3461,1743,1718,0.5036116729268998,6574959706.100529,0.9149738719741003,0,0,5911,0.11142296379117025,0.5684066562542283,0.4569836924630556,3.120078012135221,0.045957467077437426,1464751715.402897
raw,0.03,market_prob_raw_p1,10000.0,1017053169.4789176,1017043169.4789176,101704.31694789176,0.19574302944639632,3183,1598,1585,0.5020420986490732,5195807852.546964,0.9048333307879302,0,0,6189,0.11896809910857414,0.572346156769079,0.4533780576605031,3.104423499842915,0.04740509381733575,1124011610.617035
raw,0.04,market_prob_raw_p1,10000.0,1022230470.8741999,1022220470.8741999,102222.04708741998,0.1858246036076306,2901,1454,1447,0.5012064805239572,5500996375.23039,0.900239945966188,0,0,6471,0.12718257145551137,0.5767126813099451,0.4495301098544323,3.091227163047221,0.048497755481044645,1135497791.9548943
raw,0.05,market_prob_raw_p1,10000.0,715095660.4619393,715085660.4619393,71508.56604619394,0.16794915384288037,2665,1333,1332,0.500187617260788,4257750897.2204504,0.9019832987622173,0,0,6707,0.13445799307190648,0.5818617501525002,0.44740375708059227,3.0117223264540343,0.04920455782680705,792792573.2585562
raw,0.06,market_prob_raw_p1,10000.0,290796556.3331741,290786556.3331741,29078.655633317412,0.16009129002299022,2405,1189,1216,0.4943866943866944,1816379618.7251358,0.9251727628008589,0,0,6967,0.14305159345994334,0.5844883305491132,0.441436737089168,3.0238669438669437,0.049599778783694294,314305141.7260164
raw,0.08,market_prob_raw_p1,10000.0,32989637.16353057,32979637.16353057,3297.963716353057,0.18723778820184347,1955,954,1001,0.48797953964194374,176137720.27673346,0.8830237944184807,0,0,7417,0.1598059859831524,0.5962838386711867,0.4364778526880326,2.93623017902813,0.04997610154736995,37348526.02159997
raw,0.1,market_prob_raw_p1,10000.0,20325697.968235437,20315697.968235437,2031.5697968235436,0.17988688629425836,1587,771,816,0.48582230623818523,112935958.73911056,0.8789991422188601,0,0,7785,0.17605274920391814,0.6029752267180709,0.42692247751415063,2.9585255198487697,0.04999999999999851,23112306.932350878
fair,0.01,market_prob_fair_p1,10000.0,1031102834.0424541,1031092834.0424541,103109.2834042454,0.1927685300173074,4032,2044,1988,0.5069444444444444,5348864951.918652,0.9298281295299843,0,153,5187,0.10925213782794153,0.567847384386123,0.45859524655818173,3.0693402777777794,0.04157521305034574,1108906905.7995243
fair,0.02,market_prob_fair_p1,10000.0,1285376127.9168913,1285366127.9168913,128536.61279168913,0.1985113678679434,3862,1995,1867,0.5165717244950803,6475025293.120549,0.9223771440342363,0,11,5499,0.11337541611081213,0.5757440115440423,0.46236859543323017,3.0027783531848806,0.04316731823096876,1393536403.444513
fair,0.03,market_prob_fair_p1,10000.0,1517812156.7694247,1517802156.7694247,151780.21567694246,0.190084766462845,3538,1825,1713,0.5158281514980215,7984870039.894031,0.9303520756340528,0,4,5830,0.12146524099343003,0.5786920718179037,0.45722683082447363,2.9841237987563587,0.04587469970231499,1631427710.5632439
fair,0.04,market_prob_fair_p1,10000.0,1561685417.9376185,1561675417.9376185,156167.54179376186,0.18670443483815385,3245,1677,1568,0.5167950693374422,8364425940.344527,0.9215285933796349,0,3,6124,0.1292522543868733,0.5842584886127518,0.4550062342258782,2.9685608628659477,0.047682996120359596,1694657582.1486933
fair,0.05,market_prob_fair_p1,10000.0,1082725253.6656559,1082715253.6656559,108271.52536656559,0.1826820518877139,2979,1530,1449,0.513595166163142,5926774100.014764,0.9057677299299434,0,2,6391,0.1367769462323111,0.5878982484020535,0.4511213021697419,2.934941255454848,0.048746057626299716,1195356400.8616188
fair,0.06,market_prob_fair_p1,10000.0,910220044.7829597,910210044.7829597,91021.00447829597,0.16748903292913037,2721,1392,1329,0.5115766262403528,5434445640.199599,0.9004483330095042,0,0,6651,0.14457240502849275,0.5918454826425779,0.4472730776140851,2.8947409040793834,0.049432886923924155,1010840946.0216663
fair,0.08,market_prob_fair_p1,10000.0,78406137.27117606,78396137.27117606,7839.613727117606,0.18380508940246562,2236,1128,1108,0.5044722719141324,426517772.3099784,0.925970385024814,0,0,7136,0.16078640972173674,0.6016873296730101,0.44090091995127334,2.8256440071556326,0.04996573357755882,84663763.05228727
fair,0.1,market_prob_fair_p1,10000.0,16143387.801026618,16133387.801026618,1613.3387801026618,0.1643089687465151,1824,906,918,0.4967105263157895,98189331.50214174,0.8805362003347997,0,0,7548,0.17685705809708305,0.6102029062856577,0.4333458481885747,2.833163377192979,0.04999999999999834,18322231.152895633
