date,year,surface,winner_name,loser_name,winner_odds,loser_odds,odds_source
2025-08-31,2025,hard,bublik a.,paul t.,1.92,1.99,pinnacle
2025-08-31,2025,hard,lehecka j.,mannarino a.,1.37,3.42,pinnacle
2025-08-31,2025,hard,alcaraz c.,rinderknech a.,1.01,23.0,bet365
2025-08-31,2025,hard,fritz t.,machac t.,1.39,3.29,pinnacle
2025-09-01,2025,hard,djokovic n.,struff j.l.,1.17,5.55,pinnacle
2025-09-01,2025,hard,de minaur a.,riedi l.,1.07,11.05,pinnacle
2025-09-01,2025,hard,auger-aliassime f.,rublev a.,2.1,1.82,pinnacle
2025-09-01,2025,hard,musetti l.,munar j.,1.47,2.89,pinnacle
2025-09-02,2025,hard,sinner j.,bublik a.,1.09,8.96,pinnacle
2025-09-02,2025,hard,alcaraz c.,lehecka j.,1.06,12.75,pinnacle
2025-09-03,2025,hard,djokovic n.,fritz t.,1.53,2.69,pinnacle
2025-09-03,2025,hard,auger-aliassime f.,de minaur a.,2.36,1.67,pinnacle
2025-09-04,2025,hard,sinner j.,musetti l.,1.05,16.01,pinnacle
2025-09-05,2025,hard,alcaraz c.,djokovic n.,1.29,4.03,pinnacle
2025-09-06,2025,hard,sinner j.,auger-aliassime f.,1.05,15.13,pinnacle
2025-09-07,2025,hard,alcaraz c.,sinner j.,2.12,1.81,pinnacle
2025-09-17,2025,hard,giron m.,quinn e.,1.85,2.03,pinnacle
2025-09-17,2025,hard,zhou y.,norrie c.,4.64,1.22,pinnacle
2025-09-17,2025,hard,o connell c.,halys q.,1.93,1.94,pinnacle
2025-09-17,2025,hard,shang j.,bergs z.,1.76,2.15,pinnacle
2025-09-18,2025,hard,mpetshi g.,misolic f.,1.61,2.42,pinnacle
2025-09-18,2025,hard,sonego l.,cerundolo j.m.,1.56,2.56,pinnacle
2025-09-18,2025,hard,tabilo a.,thompson j.,1.84,2.04,pinnacle
2025-09-18,2025,hard,daniel t.,wong c.,2.85,1.47,pinnacle
2025-09-18,2025,hard,prizmic d.,atmane t.,1.81,2.07,pinnacle
2025-09-18,2025,hard,mcdonald m.,van de zandschulp b.,1.95,1.92,pinnacle
2025-09-18,2025,hard,shevchenko a.,monfils g.,2.53,1.57,pinnacle
2025-09-18,2025,hard,basilashvili n.,harris b.,1.75,2.11,max
2025-09-19,2025,hard,giron m.,sonego l.,1.96,1.91,pinnacle
2025-09-19,2025,hard,tabilo a.,darderi l.,1.68,2.27,pinnacle
2025-09-19,2025,hard,o connell c.,zhou y.,1.55,2.6,pinnacle
2025-09-19,2025,hard,nakashima b.,shang j.,1.68,2.3,pinnacle
2025-09-20,2025,hard,basilashvili n.,mcdonald m.,2.4,1.63,pinnacle
2025-09-20,2025,hard,daniel t.,griekspoor t.,2.69,1.52,pinnacle
